1849 50
3417_0_33_34_99_100	20	0.005547 -0.085171 -0.058590 -0.444022 0.130488 0.066781 0.163160 -0.042349 -0.203188 0.061790 -0.044599 0.337830 0.116297 -0.053429 -0.215165 -0.097788 0.009702 0.006383 0.010849 0.115271 0.019324 0.081211 0.218851 -0.159198 -0.128974 -0.124573 0.036524 0.075190 0.061798 0.110129 0.039592 -0.067982 0.046202 -0.347384 -0.120468 0.137169 -0.097372 -0.099376 -0.061077 0.211779 0.045852 -0.000907 0.088414 0.199810 -0.121449 -0.001298 -0.150782 0.183927 -0.085725 -0.056757 
3417_0_96_97_99_100	21	-0.100522 -0.085013 -0.108699 -0.328746 0.135882 0.018009 0.151059 -0.079488 -0.113540 -0.002025 -0.074979 0.340914 0.057281 -0.030732 -0.169962 -0.214517 -0.065052 0.110604 0.006550 0.158263 0.029267 0.062887 0.225046 -0.211942 -0.061923 -0.168487 -0.018159 0.035964 -0.043931 0.053035 0.045252 -0.108383 -0.035881 -0.354344 -0.262075 0.045598 -0.043683 -0.118685 -0.144043 0.141661 0.057738 -0.005202 0.073263 0.235022 -0.045189 0.075700 -0.093444 0.179001 -0.122094 -0.176682 
1124_0_14_17_21_22	22	-0.169720 0.116489 -0.061058 -0.024182 0.066084 0.163906 -0.030790 -0.224440 0.001147 0.019283 -0.065217 0.199192 -0.034652 0.015426 0.087076 -0.147637 0.265196 -0.127996 -0.137320 0.067924 0.049971 -0.020345 0.114782 -0.175823 -0.033268 -0.182850 -0.431552 -0.069311 -0.035702 -0.133018 0.343440 -0.003703 -0.085576 0.006730 -0.129194 -0.079006 -0.215063 0.114259 0.045360 0.245174 -0.062997 0.070590 0.004112 -0.060936 -0.128921 0.040033 -0.091203 0.201052 0.220052 -0.050161 
1124_0_21_22_8_9	23	-0.179369 0.040275 0.040942 -0.080004 0.015354 0.098084 0.052286 -0.124023 0.058342 0.034701 -0.159104 0.122722 -0.039492 -0.049895 0.149032 -0.085444 0.248325 -0.288028 -0.121864 0.075198 0.041201 -0.091520 0.115130 -0.273198 0.013144 -0.116295 -0.369523 0.142973 0.037950 -0.060914 0.299317 0.049392 -0.052374 0.066993 -0.086417 -0.150423 -0.222927 0.169256 0.132908 0.250915 -0.039368 -0.000334 0.019177 -0.022844 -0.186275 0.051729 -0.079214 0.126700 0.230059 -0.099315 
1124_0_14_17_8_9	24	-0.233810 0.111190 -0.047229 -0.046570 0.077859 0.117216 -0.012924 -0.203411 0.049619 0.015375 -0.069247 0.117251 -0.051211 0.028514 0.160331 -0.122284 0.201748 -0.242669 -0.189486 0.107365 0.084762 -0.019986 0.083302 -0.266066 -0.038771 -0.164562 -0.400951 0.044266 0.028312 -0.057305 0.312722 0.028422 -0.082744 0.004327 -0.143221 -0.085458 -0.235940 0.150098 0.079779 0.246375 -0.052094 0.064044 0.011224 -0.033464 -0.160211 0.000438 -0.075835 0.181266 0.141279 -0.060862 
2850_0_12_13_1_2	25	-0.027138 -0.124309 -0.039984 -0.285177 0.180946 0.111404 0.028155 0.097678 0.111640 0.118475 -0.181170 0.148708 -0.016884 -0.002107 -0.037577 0.013373 -0.088588 -0.108034 -0.162378 0.172203 0.230797 -0.113138 0.382901 0.054623 0.037655 -0.104950 -0.141110 0.150044 0.056906 0.224308 0.189590 0.065001 0.126580 -0.006531 -0.177435 0.015644 -0.088500 0.256344 0.025710 -0.044462 -0.047857 0.004661 0.257420 -0.122544 0.131112 -0.089290 0.036605 0.275389 -0.115353 0.011166 
2409_0_42_43_50_51	26	-0.177836 -0.045204 -0.041611 -0.066103 0.193854 0.200671 0.201388 -0.331811 0.014864 -0.009350 -0.229315 0.279930 0.161679 -0.123992 0.097940 -0.218981 -0.199934 0.077460 0.058781 0.316652 0.033711 0.129929 -0.020224 0.074455 0.001095 -0.045789 -0.123440 -0.030672 0.090492 -0.029674 0.068687 0.001481 -0.017373 -0.108741 -0.214615 0.057028 -0.213585 -0.269847 0.196321 0.269259 -0.089349 -0.238988 0.004093 -0.045093 -0.016529 0.051085 -0.014952 0.067002 0.118970 0.040374 
2409_0_44_45_50_51	27	-0.213297 -0.027604 -0.058533 -0.033072 0.207832 0.165373 0.167697 -0.370284 0.007576 -0.018223 -0.221994 0.226497 0.173252 -0.125391 0.056830 -0.200945 -0.227459 0.064232 0.062263 0.292194 0.043893 0.118314 -0.006092 0.048067 -0.023006 -0.083968 -0.111698 -0.002330 0.055245 -0.051625 0.093502 0.029294 0.013685 -0.105680 -0.222394 0.043450 -0.185116 -0.249291 0.191187 0.252348 -0.073050 -0.205463 0.011916 -0.040069 -0.030636 0.040973 -0.049146 0.096359 0.090150 0.038734 
2409_0_44_45_42_43	28	-0.249589 0.017333 -0.043741 0.040489 0.204802 0.102030 0.156740 -0.366860 -0.021119 0.008308 -0.224241 0.229950 0.171664 -0.129252 0.034030 -0.182205 -0.220847 0.055915 0.093722 0.281739 0.056134 0.012156 0.001043 0.088865 -0.075887 -0.113649 -0.064957 -0.002192 0.098076 -0.045479 0.108522 -0.001878 -0.004925 -0.113981 -0.272749 0.021477 -0.144716 -0.218521 0.202724 0.290054 -0.005889 -0.216435 0.054668 -0.019697 -0.022785 0.010655 -0.019393 0.032595 0.138324 0.035173 
12_0_11_12_5_6	29	0.081149 -0.005371 0.136857 0.018584 0.216854 0.037920 -0.053685 0.048997 -0.007829 0.068928 -0.111252 0.179929 -0.014595 -0.312378 0.295362 0.112631 0.139962 0.050752 -0.067106 0.242085 -0.024084 -0.072988 0.144651 -0.185051 -0.088772 -0.032506 -0.326953 0.179459 0.074079 0.072933 0.224534 0.168720 -0.013487 -0.027721 -0.192493 0.042255 0.089646 -0.102070 -0.043116 0.263457 0.081561 -0.050993 0.064747 -0.244511 -0.068643 0.096664 0.129726 0.097615 -0.265203 -0.010092 
1542_0_4_6_14_16	30	-0.071011 0.179853 -0.092632 -0.095964 0.246085 -0.101968 -0.281227 0.087476 -0.176084 0.111771 -0.114739 -0.155477 0.025229 -0.097129 0.015804 -0.107806 -0.041946 0.196354 -0.130544 0.158944 0.113615 0.194377 0.209631 -0.221510 0.032684 -0.166237 -0.078084 -0.081204 0.095492 0.160044 0.276768 0.126170 0.042948 0.026485 -0.061980 0.202707 0.033002 0.114307 0.005787 0.160021 -0.009469 -0.018688 0.208856 -0.008833 -0.168054 -0.144941 -0.082899 0.057439 -0.326929 0.022694 
2415_0_37_38_43_44	31	-0.106239 0.047589 -0.168412 -0.093180 0.090711 0.120277 -0.245258 -0.074370 -0.060026 0.038332 -0.065774 0.127322 -0.060276 -0.160428 -0.051331 -0.251793 -0.131641 0.061444 0.019814 0.104216 -0.191090 -0.013019 0.089457 -0.126123 0.068099 -0.100589 -0.352263 0.186261 -0.191578 0.067968 0.233900 -0.019612 0.088686 -0.145804 -0.267953 0.046139 -0.101586 0.034380 -0.164684 -0.046518 -0.165864 -0.083150 0.112238 0.081154 -0.123538 -0.186183 -0.171739 0.224372 0.231499 0.086232 
4491_0_13_14_5_8	32	0.001880 0.043908 0.130797 -0.101073 -0.037076 -0.007795 0.095466 0.086963 -0.347041 -0.040597 -0.317363 0.168229 0.078302 -0.020327 0.067222 -0.086498 -0.057643 0.078584 -0.167370 0.197993 0.038320 0.004977 0.177959 0.129406 0.104744 -0.012462 -0.089772 0.110044 0.115554 0.170367 0.457957 0.119175 0.029732 -0.167712 0.005689 0.034329 0.096302 0.180437 0.228874 0.196255 0.180343 -0.021663 0.074068 -0.164949 0.127478 0.014880 -0.074518 0.032710 -0.098206 0.014744 
