2111 50
9_0_19_20	10	0.136138 -0.196975 0.002752 -0.008916 -0.193750 -0.138464 0.148342 -0.114609 0.229339 -0.012681 -0.036309 -0.089088 -0.146006 -0.184729 -0.147508 0.004369 -0.141529 0.050884 -0.176680 0.098912 0.126015 -0.035765 0.105641 0.143989 0.038093 -0.122491 -0.368153 -0.019627 -0.268950 0.016877 0.137983 -0.033729 -0.125275 -0.226207 -0.182015 -0.089502 0.036489 -0.008310 -0.096390 -0.080340 -0.023129 0.109626 -0.328246 0.041198 -0.012433 0.244384 0.190027 -0.011023 0.133360 0.059858 
3404_0_13_14	11	-0.210337 -0.004565 0.090305 0.030465 -0.169541 0.061946 0.204105 -0.077063 0.280369 0.108276 0.149247 -0.227098 0.041271 -0.061334 -0.219023 -0.017726 -0.072295 0.075795 0.121923 0.023020 -0.181851 -0.140146 0.084635 -0.077170 -0.174871 -0.081986 -0.076252 0.118293 -0.245791 0.006535 0.285624 0.103440 -0.016725 0.037096 -0.146235 -0.300475 0.063668 0.065498 0.056707 -0.014730 0.026733 -0.015930 0.061135 0.081841 0.006805 0.051084 -0.066484 -0.262911 0.318187 0.181586 
3404_0_22_23	12	0.013567 -0.012241 0.180625 -0.155788 -0.214147 -0.003540 0.217777 -0.169915 0.168424 0.202672 0.136576 0.050350 0.130710 -0.218752 -0.101046 0.052750 0.073396 0.015636 -0.026490 0.003850 -0.148017 0.060144 0.061894 -0.097993 -0.020991 -0.149911 -0.052732 -0.245319 -0.060011 -0.030361 -0.042865 0.101547 -0.035450 0.170823 -0.215015 -0.135915 -0.008693 -0.095430 -0.197265 -0.167682 0.205466 0.122696 -0.085427 0.122322 -0.102476 0.257065 0.010416 -0.374890 -0.062373 0.182139 
3404_0_35_36	13	-0.125695 -0.195104 0.000550 0.112714 -0.216056 0.147009 0.318578 -0.053494 0.314420 0.056461 0.247044 0.114387 0.056302 0.076909 -0.103244 -0.138970 -0.000466 0.039715 -0.047698 0.147204 -0.100597 0.009462 -0.038953 0.021713 -0.013525 -0.014451 -0.283850 -0.058398 -0.130278 -0.000189 0.277745 -0.074918 -0.091580 0.128073 -0.190055 0.048140 0.035204 0.067995 -0.032742 -0.203852 0.119714 -0.013406 -0.105196 -0.023316 -0.172873 0.116565 -0.055703 -0.301966 0.107275 0.193139 
1531_0_6_8	14	0.060495 -0.046869 0.261533 -0.057006 -0.130241 -0.048241 -0.065803 -0.214902 0.130053 -0.024421 0.008072 -0.102480 0.188691 0.066179 -0.080826 -0.061776 0.181843 0.171752 -0.160597 0.037721 -0.349878 -0.155910 -0.054123 0.037819 0.214121 0.095027 -0.120692 -0.087292 -0.206411 0.010036 -0.005996 -0.061963 0.203676 -0.202007 -0.126065 -0.276450 -0.026981 0.071093 0.007429 -0.137748 0.069928 0.046607 -0.211453 -0.187775 -0.055348 0.100224 0.058048 -0.203320 0.010136 0.259722 
1531_0_13_14	15	-0.109261 0.113946 0.311730 0.160067 -0.048745 0.006604 0.151500 -0.231046 0.020895 0.169112 0.041007 -0.013816 0.234672 -0.129844 -0.086107 -0.080538 -0.003267 0.196466 0.240091 0.080006 -0.115296 -0.050272 0.038880 -0.023722 0.143470 0.058959 0.076903 0.084100 -0.020641 0.273291 0.153926 -0.008407 -0.033679 -0.196155 -0.070482 -0.187804 0.118756 0.013326 -0.019408 -0.206048 -0.074481 -0.021398 -0.093300 0.136286 -0.106045 -0.071220 0.049239 -0.332928 0.013792 0.317805 
2402_0_5_6	16	-0.293497 0.034441 0.144955 -0.115470 -0.165875 0.094142 0.171515 0.033649 0.186420 0.030370 0.148061 -0.282440 0.050521 -0.005366 -0.137649 0.027575 0.064825 -0.035248 0.007200 -0.114729 0.002605 -0.106085 0.033889 -0.007048 -0.352129 -0.042844 -0.001313 0.242459 -0.137687 0.214993 0.003363 -0.121852 -0.044927 0.000745 -0.285736 -0.152391 0.150094 0.190891 -0.088597 0.071666 -0.030340 -0.205312 -0.027010 0.071714 -0.018642 0.073268 -0.060263 -0.171134 0.291617 0.085654 
2402_0_16_17	17	0.048384 -0.043479 0.107692 -0.050938 -0.007317 0.095248 0.245850 0.003778 0.265938 -0.083082 0.058154 0.044822 0.307865 -0.024577 -0.117179 -0.124639 -0.161722 0.020530 -0.035987 0.172208 -0.052228 -0.141671 -0.173288 -0.129390 -0.050389 -0.058448 -0.301033 0.271519 -0.050297 0.332514 -0.050563 -0.058821 -0.224899 -0.134747 -0.099580 0.152014 0.129040 -0.074919 -0.135453 0.040821 0.136496 -0.145489 0.021224 -0.097602 -0.084584 -0.026311 0.009737 -0.251196 -0.076635 0.136499 
10_0_0_1	18	0.073372 -0.039495 0.029275 0.057852 0.097089 -0.288499 0.265086 -0.100440 -0.001134 0.106513 -0.025361 -0.058397 -0.026156 0.068038 -0.129325 -0.110921 0.023062 0.152927 0.058287 0.181058 -0.026343 0.160107 -0.046034 -0.115082 -0.168563 -0.278291 -0.154303 0.255945 -0.103819 0.010412 0.022474 0.025161 -0.145985 -0.127926 -0.344528 0.048448 -0.024464 0.040502 -0.307139 -0.053406 -0.276367 -0.003757 -0.212775 -0.136946 0.055751 0.104516 -0.117275 -0.183680 -0.031914 0.139896 
10_0_4_5	19	0.028858 -0.066875 0.005245 0.077821 -0.024166 0.001643 0.110078 -0.107755 0.044152 -0.081158 0.130414 0.259840 -0.041544 -0.260703 -0.058140 0.020057 0.120331 0.256418 0.156366 0.058045 -0.118529 -0.048585 -0.209141 -0.048789 -0.228328 -0.056827 -0.203970 0.105526 -0.288914 -0.014448 0.024071 -0.167042 0.119799 -0.029890 -0.232358 0.137930 0.137610 -0.001845 -0.118759 0.199819 -0.223842 0.014013 -0.321258 0.154624 -0.117167 0.106850 -0.082219 -0.146709 0.051592 0.122474 
