138	1	280.0
138	2	58
138	3	48
138	4	22
138	5	4
138	6	2
139	0	7
139	1	6.0
139	2	7
140	0	7
140	1	6.0
140	2	7
141	0	112
141	1	304.0
141	2	70
141	3	27
141	4	34
141	5	3
141	6	1
142	0	129
142	1	580.0
142	2	76
142	3	36
142	4	38
142	5	3
142	6	2
143	0	80
143	1	152.0
143	2	60
143	4	33
143	5	1
143	6	1
144	0	5
144	1	3.0
144	2	4
144	4	1
145	0	83
145	1	207.0
145	2	63
145	3	2
145	4	33
145	5	2
145	6	1
146	0	78
146	1	148.0
146	2	59
146	4	32
146	5	1
146	6	1
147	0	83
147	1	206.0
147	2	63
147	3	2
147	4	33
147	5	1
147	6	1
148	0	93
148	1	373.0
148	2	71
148	3	2
148	4	40
148	5	1
148	6	1
149	0	2
149	1	6.0
149	2	3
149	4	1
150	0	2
150	1	5.0
150	2	3
150	4	1
151	0	59
151	1	312.0
151	2	35
151	3	14
151	4	16
151	5	3
151	6	1
152	0	2
152	1	7.0
152	2	3
152	4	1
153	0	111
153	1	242.0
153	2	70
153	3	25
153	4	34
153	5	3
153	6	2
154	0	78
154	1	76.0
154	2	60
154	4	32
154	6	1
155	0	5
155	1	3.0
155	2	4
155	4	1
156	0	7
156	1	6.0
156	2	7
157	0	78
157	1	74.0
157	2	60
157	4	32
157	6	1
158	0	5
158	1	3.0
158	2	4
158	4	1
159	0	129
159	1	580.0
159	2	76
159	3	36
159	4	38
159	5	3
159	6	2
160	0	105
160	1	382.0
160	2	70
160	3	5
160	4	37
160	5	1
160	6	1
161	0	83
161	1	207.0
161	2	63
161	3	2
161	4	33
161	5	2
161	6	1
162	0	83
162	1	206.0
162	2	63
162	3	2
162	4	33
162	5	1
162	6	1
163	0	96
163	1	373.0
163	2	72
163	3	2
163	4	40
163	5	1
163	6	1
164	0	5
164	1	11.0
164	2	3
164	3	2
164	4	2
165	0	8
165	1	1.0
165	2	8
166	0	8
166	1	1.0
166	2	8
167	0	25
167	1	40.0
167	2	16
167	3	8
167	4	2
167	6	1
168	0	2
168	2	2
169	0	2
169	2	2
170	0	25
170	1	75.0
170	2	14
170	4	3
170	5	2
171	0	1
171	2	1
172	0	4
